Date;Time;ULG95;DK;ULTSU;ULTDK
30.06.2018;04:38;4000;27284;3002;0
01.07.2018;21:30;12001;16001;0;5000
02.07.2018;22:40;4001;27283;3001;0
03.07.2018;23:05;5501;28622;0;0
04.07.2018;12:00;0;0;0;0
05.07.2018;04:55;5000;26007;0;3001
06.07.2018;04:46;7000;24002;3677;0
07.07.2018;10:39;7000;27001;0;0
08.07.2018;12:00;0;0;0;0
09.07.2018;12:20;7001;23001;0;4201
10.07.2018;13:32;6475;24999;3000;0
11.07.2018;10:37;5000;24111;0;4901
12.07.2018;11:59;4929;24099;0;4901
13.07.2018;12:43;5001;25940;0;3001
14.07.2018;05:08;7001;23702;3001;0
15.07.2018;22:53;9001;20401;0;4444
16.07.2018;12:00;0;0;0;0
17.07.2018;09:12;7001;24205;3001;0
18.07.2018;13:38;5000;23001;0;5400
19.07.2018;06:31;4999;26203;2999;0
20.07.2018;13:14;5001;25901;0;3000
21.07.2018;13:06;6001;25297;3000;0
22.07.2018;22:42;12000;15001;0;5002
23.07.2018;12:00;0;0;0;0
24.07.2018;05:56;5500;25944;3000;0
25.07.2018;00:13;0;17854;0;0
26.07.2018;04:23;10001;20003;0;4000
27.07.2018;06:23;7001;24246;0;3000
28.07.2018;09:48;4537;26000;3900;0
29.07.2018;12:00;0;0;0;0
30.07.2018;04:06;10636;20940;0;3000
30.07.2018;21:13;6143;23801;0;4000
31.07.2018;23:48;0;16951;0;0
01.08.2018;22:29;9557;24779;0;0
02.08.2018;23:54;3889;24903;0;5002
03.08.2018;12:00;0;0;0;0
04.08.2018;01:45;9002;25002;0;0
05.08.2018;22:09;11796;22751;0;0
06.08.2018;12:00;0;0;0;0
07.08.2018;06:15;7001;22801;0;4231
08.08.2018;06:00;6000;24432;3999;0
09.08.2018;12:38;7001;22850;0;4232
10.08.2018;13:30;6999;23520;4001;0
11.08.2018;07:19;6799;24550;3001;0
12.08.2018;22:42;9000;15501;0;9761
13.08.2018;12:00;0;0;0;0
14.08.2018;05:45;6001;23980;0;4001
15.08.2018;06:16;5000;25799;3438;0
16.08.2018;17:40;6801;24249;0;3001
17.08.2018;22:22;7001;24002;0;3001
18.08.2018;12:00;0;0;0;0
19.08.2018;06:24;3898;16901;0;0
20.08.2018;11:41;7000;23001;0;4001
21.08.2018;06:30;7000;22621;5001;0
22.08.2018;02:43;5000;25003;0;3001
23.08.2018;08:37;5001;25893;0;3000
24.08.2018;11:54;6000;25323;3000;0
25.08.2018;11:10;10000;18603;0;4001
26.08.2018;12:00;0;0;0;0
27.08.2018;11:28;7001;23948;0;2999
28.08.2018;13:04;5000;26101;3002;0
29.08.2018;11:57;5000;25751;0;3001
30.08.2018;09:35;7001;24004;0;3001
31.08.2018;08:06;6700;22999;4301;0
01.09.2018;12:20;5001;24902;0;3725
02.09.2018;12:00;0;0;0;0
03.09.2018;09:02;6000;24783;0;3099
04.09.2018;09:00;9001;21001;3501;0
05.09.2018;10:57;4000;26692;0;3000
06.09.2018;12:13;5000;25801;0;3000
07.09.2018;10:27;0;18353;0;0
08.09.2018;09:29;5000;28768;0;0
09.09.2018;12:00;0;0;0;0
10.09.2018;05:30;6001;24701;3001;0
11.09.2018;06:03;7001;27014;0;0
12.09.2018;05:53;7001;26370;0;0
13.09.2018;09:06;7001;23641;0;3366
14.09.2018;09:12;7411;26652;0;0
15.09.2018;11:15;7001;24022;0;3002
16.09.2018;22:36;16000;15100;3765;0
17.09.2018;12:00;0;0;0;0
18.09.2018;04:02;5001;25781;0;3001
19.09.2018;04:31;0;33256;0;0
20.09.2018;04:27;4300;26402;0;3001
21.09.2018;06:04;7001;24350;3000;0
22.09.2018;04:08;3500;27153;0;3000
23.09.2018;20:24;9000;22502;3001;0
24.09.2018;12:00;0;0;0;0
25.09.2018;09:12;0;29601;0;3601
26.09.2018;05:29;0;23004;3001;6930
26.09.2018;16:09;14000;16001;0;5100
27.09.2018;18:25;6000;24501;0;3258
28.09.2018;18:57;9001;23586;0;0
29.09.2018;12:00;0;0;0;0
30.09.2018;05:48;14002;17845;3519;0
01.10.2018;10:59;6000;20301;3002;5001
02.10.2018;10:13;5001;25404;0;3001
03.10.2018;07:14;6000;24003;0;4002
04.10.2018;06:20;7000;24153;0;3001
05.10.2018;07:52;5998;28438;0;0
06.10.2018;04:27;0;27508;0;5601
07.10.2018;07:24;0;13204;0;0
08.10.2018;06:08;6000;16153;0;2999
08.10.2018;23:37;8999;21213;4000;0
09.10.2018;21:23;14003;18003;0;3002
10.10.2018;12:00;0;0;0;0
11.10.2018;06:01;5001;26003;3451;0
12.10.2018;04:54;6001;24504;0;3001
12.10.2018;22:20;5801;27603;0;0
13.10.2018;12:00;0;0;0;0
14.10.2018;02:39;5000;20002;3001;5477
15.10.2018;12:00;0;0;0;0
16.10.2018;02:09;5000;28554;0;0
17.10.2018;04:01;5000;28604;0;0
18.10.2018;05:42;7000;24698;3001;0
19.10.2018;04:02;5001;25926;3001;0
20.10.2018;05:51;7001;26804;0;0
21.10.2018;04:28;9002;20005;5151;0
22.10.2018;10:20;6000;15503;0;12102
23.10.2018;04:23;5001;20303;3002;5478
24.10.2018;05:27;5001;20933;3001;5479
24.10.2018;17:10;3701;30220;0;0
25.10.2018;17:34;3001;29956;0;0
26.10.2018;18:19;8500;26003;0;0
27.10.2018;17:06;9000;20588;0;4002
28.10.2018;12:00;0;0;0;0
29.10.2018;06:08;6000;14905;5002;8806
30.10.2018;05:04;5001;29006;0;0
31.10.2018;10:43;0;10302;0;0
31.10.2018;14:59;5000;28593;0;0
