Date;Time;ULG95;DK;ULTSU;ULTDK
20.03.2017;22:46;9001;23003;0;0
21.03.2017;23:38;9001;20002;5002;0
22.03.2017;22:51;5001;28002;0;0
23.03.2017;23:37;4001;27003;0;3000
24.03.2017;23:29;6001;25403;0;0
25.03.2017;12:00;0;0;0;0
26.03.2017;22:53;6000;23001;0;5001
27.03.2017;12:00;0;0;0;0
28.03.2017;11:53;0;26899;3001;4001
28.03.2017;22:20;7000;22002;0;5001
29.03.2017;12:00;0;0;0;0
30.03.2017;00:04;8999;22962;3002;0
31.03.2017;00:37;0;28004;0;5609
31.03.2017;22:03;10000;18937;0;3000
01.04.2017;12:00;0;0;0;0
02.04.2017;01:18;7000;20999;3000;0
03.04.2017;12:00;0;0;0;0
04.04.2017;00:00;4000;30003;0;0
04.04.2017;22:28;4000;30002;0;0
05.04.2017;22:00;4000;27504;0;0
06.04.2017;12:00;0;0;0;0
07.04.2017;06:41;0;27002;0;6597
07.04.2017;22:23;6999;22500;3836;0
08.04.2017;12:00;0;0;0;0
09.04.2017;12:03;9001;12001;4001;9001
10.04.2017;19:03;4001;30004;0;0
11.04.2017;18:40;6001;24003;0;3001
12.04.2017;18:00;5001;28002;0;0
13.04.2017;17:58;7002;26002;0;0
14.04.2017;22:51;0;28401;0;3632
15.04.2017;12:00;0;0;0;0
16.04.2017;12:00;0;0;0;0
17.04.2017;10:32;12000;10000;2999;6999
18.04.2017;21:22;7000;23001;3999;0
19.04.2017;23:16;0;28618;0;5001
20.04.2017;18:20;0;15999;0;0
21.04.2017;11:41;0;22005;0;0
22.04.2017;06:11;3000;29202;0;0
23.04.2017;21:54;10745;17002;0;7000
24.04.2017;23:34;11001;23006;0;0
25.04.2017;22:55;6000;24998;3000;0
26.04.2017;12:00;0;0;0;0
27.04.2017;00:07;0;25002;3000;5925
28.04.2017;02:26;4002;30003;0;0
28.04.2017;20:02;4001;30003;0;0
29.04.2017;17:38;0;16641;0;0
30.04.2017;12:00;0;0;0;0
01.05.2017;12:12;13001;12001;3002;7001
02.05.2017;22:13;9001;22606;0;3001
03.05.2017;21:16;6200;14700;4001;4000
04.05.2017;12:00;0;0;0;0
05.05.2017;07:49;0;21677;0;0
06.05.2017;00:28;6001;28002;0;0
06.05.2017;22:03;0;18001;0;0
07.05.2017;23:52;7000;18677;3001;6001
08.05.2017;12:00;0;0;0;0
09.05.2017;05:53;0;32105;0;0
09.05.2017;23:22;9001;22002;0;3001
10.05.2017;22:47;4001;30002;0;0
11.05.2017;12:00;0;0;0;0
12.05.2017;07:13;4000;30000;0;0
12.05.2017;19:52;6000;25003;0;3002
13.05.2017;01:18;8800;15001;4500;6001
14.05.2017;12:00;0;0;0;0
15.05.2017;19:28;6001;28001;0;0
16.05.2017;19:32;0;33604;0;0
17.05.2017;17:38;3999;27001;0;0
18.05.2017;18:48;4000;30003;0;0
19.05.2017;21:56;8999;24999;0;0
20.05.2017;21:49;11501;19002;0;0
21.05.2017;12:00;0;0;0;0
22.05.2017;21:37;4001;26001;0;3000
23.05.2017;21:43;4000;30000;0;0
24.05.2017;22:02;4001;30003;0;0
25.05.2017;17:07;6600;19000;3001;4001
26.05.2017;23:44;4000;26999;3000;0
27.05.2017;22:12;12000;14002;0;8001
28.05.2017;12:00;0;0;0;0
29.05.2017;21:11;0;26902;3000;4000
30.05.2017;17:58;0;32004;0;0
31.05.2017;20:14;4000;27000;3000;0
01.06.2017;22:33;5001;29003;0;0
02.06.2017;18:10;12000;15000;2999;5000
03.06.2017;11:21;11900;20002;0;3000
04.06.2017;22:11;7001;19002;0;6001
05.06.2017;23:34;4001;28002;0;0
06.06.2017;12:00;0;0;0;0
07.06.2017;05:51;3999;26801;2999;0
08.06.2017;04:46;9000;24475;0;0
09.06.2017;06:40;0;25000;4000;5000
10.06.2017;05:56;4000;30003;0;0
11.06.2017;05:53;11000;16000;3000;5001
12.06.2017;12:37;6999;20000;3001;4000
13.06.2017;06:32;4002;25002;0;3000
14.06.2017;04:28;4000;26001;0;3000
15.06.2017;00:01;6000;21001;0;7001
16.06.2017;13:44;0;20000;5000;9000
17.06.2017;10:57;5837;15001;0;0
18.06.2017;22:27;11918;19101;0;3000
19.06.2017;12:00;0;0;0;0
20.06.2017;05:28;0;21675;0;0
21.06.2017;10:26;0;33603;0;0
22.06.2017;12:15;4001;30002;0;0
23.06.2017;09:41;15001;16001;4002;0
23.06.2017;18:25;5717;25001;4001;0
24.06.2017;12:00;0;0;0;0
25.06.2017;05:41;4001;22701;0;6000
26.06.2017;12:00;0;0;0;0
27.06.2017;01:54;4000;29599;0;0
28.06.2017;02:21;6000;28003;0;0
28.06.2017;23:39;9000;21000;0;4584
29.06.2017;12:00;0;0;0;0
30.06.2017;03:44;0;28617;0;5001
30.06.2017;21:31;4000;30000;0;0
01.07.2017;23:34;0;12000;9001;13002
02.07.2017;13:27;23009;7000;0;0
03.07.2017;11:46;0;19000;0;0
04.07.2017;11:10;0;16001;0;0
04.07.2017;21:25;8999;20999;0;4584
05.07.2017;21:51;5000;25001;0;4000
06.07.2017;22:39;0;31502;0;0
07.07.2017;23:18;7002;23002;0;0
08.07.2017;12:00;0;0;0;0
09.07.2017;10:03;12000;15902;0;4903
10.07.2017;10:20;4001;17000;9002;5000
11.07.2017;17:05;4001;30002;0;0
12.07.2017;21:55;9003;24976;0;0
13.07.2017;14:45;4000;20001;3001;7000
14.07.2017;10:01;5502;16000;0;0
15.07.2017;05:47;4001;27502;0;0
16.07.2017;22:39;11000;18700;0;0
17.07.2017;12:00;0;0;0;0
18.07.2017;04:45;4000;27001;0;3000
19.07.2017;00:09;3262;21002;3001;7001
19.07.2017;22:19;5001;29003;0;0
20.07.2017;23:50;6001;28002;0;0
21.07.2017;22:00;6600;19001;3000;6000
22.07.2017;12:00;0;0;0;0
23.07.2017;10:40;7201;15002;3002;4001
24.07.2017;21:43;0;31001;0;0
25.07.2017;12:00;0;0;0;0
26.07.2017;07:05;7001;27001;0;0
27.07.2017;02:11;9000;21004;0;4584
27.07.2017;23:58;0;25002;4002;5001
28.07.2017;21:26;4007;29999;0;0
29.07.2017;12:00;0;0;0;0
30.07.2017;11:42;14002;17400;0;0
31.07.2017;11:04;5000;16999;3001;7000
01.08.2017;11:47;6000;21002;0;3001
02.08.2017;16:31;5001;26001;3002;0
03.08.2017;12:43;0;21001;0;0
03.08.2017;23:46;7001;20602;0;3001
04.08.2017;12:00;0;0;0;0
05.08.2017;13:39;9000;25001;0;0
06.08.2017;12:00;0;0;0;0
07.08.2017;16:27;4101;30000;0;0
08.08.2017;17:26;4001;30000;0;0
09.08.2017;10:23;9000;12001;6001;7001
09.08.2017;23:32;12000;22400;0;0
10.08.2017;12:00;0;0;0;0
11.08.2017;02:29;5001;29003;0;0
11.08.2017;20:18;9000;15901;3999;6000
12.08.2017;12:00;0;0;0;0
13.08.2017;12:28;3001;23902;0;7001
14.08.2017;23:20;11900;20002;0;3001
15.08.2017;12:00;0;0;0;0
16.08.2017;11:01;6999;20001;3899;3001
17.08.2017;06:09;4000;30001;0;0
18.08.2017;13:29;0;33604;0;0
19.08.2017;10:55;9002;21003;0;4585
20.08.2017;22:28;12002;18001;0;4001
21.08.2017;23:36;0;25000;4002;5000
22.08.2017;23:09;9719;25003;0;0
23.08.2017;23:24;4999;25000;3999;0
24.08.2017;12:00;0;0;0;0
25.08.2017;01:25;6000;22999;0;4000
25.08.2017;22:11;8001;24503;0;0
26.08.2017;12:00;0;0;0;0
27.08.2017;22:08;7001;21002;0;5999
28.08.2017;12:00;0;0;0;0
29.08.2017;06:36;4000;30002;0;0
29.08.2017;22:44;4037;24001;0;6001
30.08.2017;12:00;0;0;0;0
31.08.2017;06:37;6356;28002;0;0
01.09.2017;05:59;6700;25004;3001;0
01.09.2017;23:21;3998;26998;0;0
02.09.2017;12:00;0;0;0;0
03.09.2017;21:56;7001;23602;0;0
04.09.2017;09:57;0;23902;3002;0
05.09.2017;22:34;12000;22904;0;0
06.09.2017;23:48;5000;27003;0;0
07.09.2017;23:46;5001;26002;3502;0
08.09.2017;19:46;5001;25003;0;3001
09.09.2017;12:00;0;0;0;0
10.09.2017;16:54;8002;26002;0;0
11.09.2017;22:01;7000;27403;0;0
12.09.2017;12:07;6999;15000;3701;9000
13.09.2017;06:09;7001;26503;0;0
14.09.2017;00:30;5000;23001;0;4001
15.09.2017;02:39;7000;24003;0;3001
15.09.2017;23:27;5000;25003;4001;0
16.09.2017;23:14;9001;18001;0;7000
17.09.2017;22:43;7000;10001;6001;11902
18.09.2017;23:10;0;33603;0;0
19.09.2017;22:35;7000;27004;0;0
20.09.2017;23:01;7000;23003;0;3301
21.09.2017;18:29;5000;24999;3999;0
22.09.2017;18:57;5001;25002;0;4000
23.09.2017;12:00;0;0;0;0
24.09.2017;17:45;0;31504;0;0
25.09.2017;23:32;3000;28003;0;0
26.09.2017;19:52;0;23003;0;9502
27.09.2017;23:37;9000;25602;0;0
28.09.2017;23:34;13999;21002;0;0
29.09.2017;12:00;0;0;0;0
30.09.2017;00:04;7000;24001;3799;0
01.10.2017;06:49;8999;15999;4001;5801
02.10.2017;15:25;0;33404;0;0
03.10.2017;15:25;7000;27002;0;0
04.10.2017;07:24;7000;21000;3000;3500
04.10.2017;23:39;6000;23001;2999;0
05.10.2017;12:00;0;0;0;0
06.10.2017;00:27;7000;21003;0;6000
06.10.2017;22:32;3500;30404;0;0
07.10.2017;22:12;9000;18002;0;7000
08.10.2017;12:00;0;0;0;0
09.10.2017;06:42;5001;21002;4001;3401
10.10.2017;12:27;0;33507;0;0
10.10.2017;23:49;9001;17001;0;7001
11.10.2017;12:00;0;0;0;0
12.10.2017;03:20;6001;28001;0;0
13.10.2017;01:00;6001;22602;0;3001
14.10.2017;02:05;4001;29905;0;0
14.10.2017;16:42;7001;18501;3001;6001
15.10.2017;12:00;0;0;0;0
16.10.2017;13:31;0;33505;0;0
17.10.2017;07:37;12000;22803;0;0
18.10.2017;08:45;4000;26901;0;3001
18.10.2017;23:28;6001;22002;0;6100
19.10.2017;20:08;3001;30801;0;0
20.10.2017;23:25;0;32503;0;0
21.10.2017;12:00;0;0;0;0
22.10.2017;18:09;9000;11999;6999;6001
23.10.2017;12:25;6001;24105;0;4001
24.10.2017;15:01;0;30407;0;3001
25.10.2017;12:54;6000;25001;0;3002
26.10.2017;12:37;7000;27000;0;0
27.10.2017;07:45;7001;24601;3001;0
28.10.2017;10:14;7002;22006;0;5000
29.10.2017;17:28;10101;23806;0;0
30.10.2017;23:25;7000;22003;5000;0
31.10.2017;19:04;0;33501;0;0
01.11.2017;12:00;0;0;0;0
02.11.2017;13:19;0;25003;3001;5702
03.11.2017;11:55;14001;21003;0;0
04.11.2017;10:57;4999;23001;0;4000
05.11.2017;22:43;12101;20003;0;0
06.11.2017;12:00;0;0;0;0
07.11.2017;04:56;0;33505;0;0
08.11.2017;06:10;5001;29000;0;0
08.11.2017;22:08;4001;25002;0;4903
09.11.2017;23:43;6002;28002;0;0
10.11.2017;22:54;3957;30003;0;0
11.11.2017;22:15;12999;11999;4002;6001
12.11.2017;12:00;0;0;0;0
13.11.2017;11:39;0;25002;3001;5784
14.11.2017;07:00;6001;21003;0;5001
15.11.2017;06:27;5000;25003;0;4000
16.11.2017;06:53;3957;30004;0;0
16.11.2017;23:47;0;25002;0;7001
17.11.2017;12:00;0;0;0;0
18.11.2017;00:25;9005;25000;0;0
19.11.2017;00:09;9001;15001;7002;4002
20.11.2017;06:17;6001;28003;0;0
21.11.2017;07:38;5001;26393;3002;0
22.11.2017;06:02;3916;27003;0;3001
23.11.2017;04:52;3001;27003;0;3491
23.11.2017;22:52;7000;27005;0;0
24.11.2017;18:36;4001;24602;0;5001
25.11.2017;12:00;0;0;0;0
26.11.2017;06:11;6999;21001;3000;3200
27.11.2017;11:53;5000;25003;3001;0
28.11.2017;12:15;3001;26806;0;4001
29.11.2017;05:49;6001;26002;0;0
30.11.2017;05:40;4001;26927;0;3001
01.12.2017;05:37;6001;28004;0;0
02.12.2017;22:52;5500;16002;5001;8001
03.12.2017;12:00;0;0;0;0
04.12.2017;08:18;0;14003;0;0
05.12.2017;06:06;9001;22001;0;3001
05.12.2017;18:06;0;12004;0;0
06.12.2017;14:03;6001;21007;0;3000
07.12.2017;14:10;0;22004;0;0
08.12.2017;06:05;9001;25503;0;0
08.12.2017;18:31;0;17002;0;0
09.12.2017;11:01;4899;18000;2999;5415
10.12.2017;20:55;0;16006;0;0
11.12.2017;23:12;4001;29968;0;0
12.12.2017;20:42;7000;23000;0;4000
13.12.2017;12:00;0;0;0;0
14.12.2017;05:54;4000;29964;0;0
15.12.2017;06:13;4001;28504;0;0
15.12.2017;23:08;9000;21003;4999;0
16.12.2017;12:00;0;0;0;0
17.12.2017;06:11;4001;21003;0;8856
18.12.2017;11:58;0;26003;4000;3001
19.12.2017;12:34;4001;29963;0;0
20.12.2017;11:58;9000;25500;0;0
21.12.2017;00:45;0;10502;0;0
21.12.2017;15:31;5001;27004;0;0
22.12.2017;22:09;5001;28803;0;0
23.12.2017;12:30;13000;7001;5002;10338
24.12.2017;12:00;0;0;0;0
25.12.2017;12:00;0;0;0;0
26.12.2017;12:00;0;0;0;0
27.12.2017;12:00;0;0;0;0
28.12.2017;01:12;14002;21003;0;0
29.12.2017;21:09;7009;21000;0;6209
30.12.2017;12:00;0;0;0;0
31.12.2017;12:00;0;0;0;0
01.01.2018;12:00;0;0;0;0
02.01.2018;09:22;9001;20976;0;4447
03.01.2018;12:21;9000;21002;5038;0
04.01.2018;11:42;0;21749;3001;9001
05.01.2018;22:48;7000;27286;0;0
06.01.2018;12:00;0;0;0;0
07.01.2018;12:00;0;0;0;0
08.01.2018;13:02;7001;24004;0;3001
09.01.2018;14:48;9001;24501;0;0
10.01.2018;15:33;4001;25505;0;3001
11.01.2018;21:32;5001;28005;0;0
12.01.2018;20:14;5000;25005;0;4003
13.01.2018;12:00;0;0;0;0
14.01.2018;12:00;0;0;0;0
15.01.2018;03:38;7001;27287;0;0
15.01.2018;22:26;7502;26002;0;0
16.01.2018;22:53;0;25003;9002;0
17.01.2018;23:30;3837;21003;0;9001
18.01.2018;22:58;3000;30804;0;0
19.01.2018;12:00;0;0;0;0
20.01.2018;00:08;7001;26504;0;0
21.01.2018;10:54;7000;14501;3000;9001
22.01.2018;21:16;9002;25499;0;0
23.01.2018;22:08;6157;25003;0;3000
24.01.2018;20:06;4000;26929;0;3001
25.01.2018;20:59;3956;30002;0;0
26.01.2018;23:54;4000;26502;0;3421
27.01.2018;12:00;0;0;0;0
28.01.2018;21:55;9001;22004;0;3400
29.01.2018;12:00;0;0;0;0
30.01.2018;04:13;6000;25000;3500;0
31.01.2018;04:51;4000;26003;0;3901
01.02.2018;04:19;4001;26003;0;3914
02.02.2018;05:33;0;26926;4002;3001
03.02.2018;04:23;9000;24479;0;0
04.02.2018;12:00;0;0;0;0
05.02.2018;11:30;7001;23005;0;4001
06.02.2018;08:40;5601;21000;4402;3137
07.02.2018;05:36;0;19704;0;0
08.02.2018;05:54;7000;24003;0;3001
09.02.2018;12:49;4000;26902;0;3002
10.02.2018;05:52;7001;23003;3502;0
11.02.2018;12:00;0;0;0;0
12.02.2018;06:00;6001;24002;0;3101
13.02.2018;04:28;5000;25006;0;4001
14.02.2018;03:55;4001;29964;0;0
15.02.2018;08:04;4000;25504;0;3001
16.02.2018;13:11;0;29007;4000;0
17.02.2018;11:57;10501;19003;0;5001
18.02.2018;21:42;0;13002;0;0
19.02.2018;19:27;3001;30306;0;0
20.02.2018;21:41;9000;20004;0;5000
21.02.2018;12:00;0;0;0;0
22.02.2018;04:13;5001;25498;4002;0
